"","Module","Symbol","X0rder","Function","Module_gene"
"301","M7.4","GPI",6229,"M7.4","M7.4_GPI"
"302","M7.4","NUP107",6232,"M7.4","M7.4_NUP107"
"303","M7.4","ABL1",6261,"M7.4","M7.4_ABL1"
"304","M7.4","CYFIP2",6265,"M7.4","M7.4_CYFIP2"
"305","M7.5","IL12RB1",6292,"M7.5","M7.5_IL12RB1"
"306","M7.5","ATG5",6334,"M7.5","M7.5_ATG5"
"307","M7.5","ZNF2",6374,"M7.5","M7.5_ZNF2"
"308","M7.5","TNFRSF10B",6416,"M7.5","M7.5_TNFRSF10B"
"309","M7.6","ST6GAL1",6433,"M7.6.Proliferation","M7.6_ST6GAL1"
"310","M7.6","CARD11",6472,"M7.6.Proliferation","M7.6_CARD11"
"311","M7.6","HRAS",6482,"M7.6.Proliferation","M7.6_HRAS"
"312","M7.7","CD70",6541,"M7.7.Proliferation","M7.7_CD70"
"313","M7.7","IRF4",6582,"M7.7.Proliferation","M7.7_IRF4"
"314","M7.7","PBK",6607,"M7.7.Proliferation","M7.7_PBK"
"315","M7.7","IL12A",6622,"M7.7.Proliferation","M7.7_IL12A"
"316","M7.8","HAVCR2",6685,"M7.8.Cell Cycle","M7.8_HAVCR2"
"317","M7.8","SPA17",6731,"M7.8.Cell Cycle","M7.8_SPA17"
"318","M7.9","RELA",6788,"M7.9","M7.9_RELA"
"319","M7.9","EWSR1",6797,"M7.9","M7.9_EWSR1"
"320","M7.9","NFKB1",6801,"M7.9","M7.9_NFKB1"
"321","M7.9","TAPBP",6815,"M7.9","M7.9_TAPBP"
"322","M7.9","PRPF3",6865,"M7.9","M7.9_PRPF3"
"323","M7.9","PSMD7",6884,"M7.9","M7.9_PSMD7"
"324","M7.9","CTSH",6885,"M7.9","M7.9_CTSH"
"325","M7.9","NLRP3",6899,"M7.9","M7.9_NLRP3"
"326","M7.9","HLA-A",6921,"M7.9","M7.9_HLA-A"
"327","M7.10","F12",6943,"M7.10","M7.10_F12"
"328","M7.10","PDGFC",7024,"M7.10","M7.10_PDGFC"
"329","M7.10","IL1RAP",7051,"M7.10","M7.10_IL1RAP"
"330","M7.11","PNMA1",7122,"M7.11","M7.11_PNMA1"
"331","M7.12","ILF3",7193,"M7.12","M7.12_ILF3"
"332","M7.12","RORC",7219,"M7.12","M7.12_RORC"
"333","M7.12","CD1C",7284,"M7.12","M7.12_CD1C"
"334","M7.13","MS4A2",7320,"M7.13","M7.13_MS4A2"
"335","M7.13","MST1",7350,"M7.13","M7.13_MST1"
"336","M7.13","CCL23",7354,"M7.13","M7.13_CCL23"
"337","M7.13","SMPD3",7373,"M7.13","M7.13_SMPD3"
"338","M7.13","CCR3",7381,"M7.13","M7.13_CCR3"
"339","M7.13","IL11RA",7406,"M7.13","M7.13_IL11RA"
"340","M7.14","IL18",7436,"M7.14","M7.14_IL18"
"341","M7.14","TAPBP",7454,"M7.14","M7.14_TAPBP"
"342","M7.15","TFEB",7488,"M7.15","M7.15_TFEB"
"343","M7.15","TFE3",7499,"M7.15","M7.15_TFE3"
"344","M7.15","FAS",7501,"M7.15","M7.15_FAS"
"345","M7.15","NOTCH1",7512,"M7.15","M7.15_NOTCH1"
"346","M7.15","IRF1",7528,"M7.15","M7.15_IRF1"
"347","M7.15","SPP1",7538,"M7.15","M7.15_SPP1"
"348","M7.15","RELB",7544,"M7.15","M7.15_RELB"
"349","M7.15","ITGAX",7545,"M7.15","M7.15_ITGAX"
"350","M7.16","IL1RN",7595,"M7.16.DC/Apoptosis","M7.16_IL1RN"
"351","M7.16","CLEC6A",7600,"M7.16.DC/Apoptosis","M7.16_CLEC6A"
"352","M7.16","CSF2RB",7603,"M7.16.DC/Apoptosis","M7.16_CSF2RB"
"353","M7.16","NOD2",7604,"M7.16.DC/Apoptosis","M7.16_NOD2"
"354","M7.16","CD274",7605,"M7.16.DC/Apoptosis","M7.16_CD274"
"355","M7.16","JAK2",7608,"M7.16.DC/Apoptosis","M7.16_JAK2"
"356","M7.16","IRAK2",7614,"M7.16.DC/Apoptosis","M7.16_IRAK2"
"357","M7.16","TAP2",7619,"M7.16.DC/Apoptosis","M7.16_TAP2"
"358","M7.17","IL10RA",7641,"M7.17","M7.17_IL10RA"
"359","M7.17","ATG16L1",7642,"M7.17","M7.17_ATG16L1"
"360","M7.17","YTHDF2",7727,"M7.17","M7.17_YTHDF2"
"361","M7.18","SIGIRR",7730,"M7.18.Immunosuppression","M7.18_SIGIRR"
"362","M7.18","CD74",7741,"M7.18.Immunosuppression","M7.18_CD74"
"363","M7.18","ENG",7742,"M7.18.Immunosuppression","M7.18_ENG"
"364","M7.18","TNFSF12",7780,"M7.18.Immunosuppression","M7.18_TNFSF12"
"365","M7.19","JAK1",7824,"M7.19","M7.19_JAK1"
"366","M7.19","CTCF",7894,"M7.19","M7.19_CTCF"
"367","M7.20","ATF1",7913,"M7.20","M7.20_ATF1"
"368","M7.20","HMGB1",7917,"M7.20","M7.20_HMGB1"
"369","M7.20","DPP4",7926,"M7.20","M7.20_DPP4"
"370","M7.21","C5",7969,"M7.21.Cytotoxic","M7.21_C5"
"371","M7.21","EGR1",7986,"M7.21.Cytotoxic","M7.21_EGR1"
"372","M7.21","LAMP1",7997,"M7.21.Cytotoxic","M7.21_LAMP1"
"373","M7.21","MICA",8001,"M7.21.Cytotoxic","M7.21_MICA"
"374","M7.21","MICB",8002,"M7.21.Cytotoxic","M7.21_MICB"
"375","M7.21","PSMB8",8012,"M7.21.Cytotoxic","M7.21_PSMB8"
"376","M7.21","TICAM2",8029,"M7.21.Cytotoxic","M7.21_TICAM2"
"377","M7.21","TNFRSF14",8031,"M7.21.Cytotoxic","M7.21_TNFRSF14"
"378","M7.22","CD68",8045,"M7.22.Inflammation","M7.22_CD68"
"379","M7.22","CD36",8067,"M7.22.Inflammation","M7.22_CD36"
"380","M7.22","CCR2",8070,"M7.22.Inflammation","M7.22_CCR2"
"381","M7.22","TNFRSF8",8089,"M7.22.Inflammation","M7.22_TNFRSF8"
"382","M7.22","DUSP6",8093,"M7.22.Inflammation","M7.22_DUSP6"
"383","M7.23","CREB1",8159,"M7.23","M7.23_CREB1"
"384","M7.23","CXCR4",8165,"M7.23","M7.23_CXCR4"
"385","M7.24","ADA",8178,"M7.24.Lymphocyte Activation","M7.24_ADA"
"386","M7.24","SLAMF1",8184,"M7.24.Lymphocyte Activation","M7.24_SLAMF1"
"387","M7.24","RUNX3",8195,"M7.24.Lymphocyte Activation","M7.24_RUNX3"
"388","M7.24","MAF",8202,"M7.24.Lymphocyte Activation","M7.24_MAF"
"389","M7.24","IL32",8203,"M7.24.Lymphocyte Activation","M7.24_IL32"
"390","M7.24","SLAMF6",8231,"M7.24.Lymphocyte Activation","M7.24_SLAMF6"
"391","M7.24","BTLA",8244,"M7.24.Lymphocyte Activation","M7.24_BTLA"
"392","M7.25","MFGE8",8277,"M7.25","M7.25_MFGE8"
"393","M7.25","NFATC3",8343,"M7.25","M7.25_NFATC3"
"394","M7.26","TNF",8357,"M7.26","M7.26_TNF"
"395","M7.26","TRAF3",8405,"M7.26","M7.26_TRAF3"
"396","M7.26","TICAM1",8413,"M7.26","M7.26_TICAM1"
"397","M7.27","TLR1",8427,"M7.27","M7.27_TLR1"
"398","M7.29","CD163",8535,"M7.29","M7.29_CD163"
"399","M7.29","CD59",8543,"M7.29","M7.29_CD59"
"400","M7.29","BCL6",8547,"M7.29","M7.29_BCL6"
"401","M7.29","LILRA5",8550,"M7.29","M7.29_LILRA5"
"402","M7.29","C4BPA",8552,"M7.29","M7.29_C4BPA"
"403","M7.29","ICAM1",8566,"M7.29","M7.29_ICAM1"
"404","M7.29","C1QB",8574,"M7.29","M7.29_C1QB"
"405","M7.29","MUC1",8577,"M7.29","M7.29_MUC1"
"406","M7.29","MERTK",8583,"M7.29","M7.29_MERTK"
"407","M7.29","PPARG",8586,"M7.29","M7.29_PPARG"
"408","M7.29","MAPK14",8588,"M7.29","M7.29_MAPK14"
"409","M7.30","NLRC5",8605,"M7.30","M7.30_NLRC5"
"410","M7.30","FLT3",8614,"M7.30","M7.30_FLT3"
"411","M7.30","IL6ST",8660,"M7.30","M7.30_IL6ST"
"412","M7.31","IRF3",8667,"M7.31","M7.31_IRF3"
"413","M7.31","MAP2K2",8678,"M7.31","M7.31_MAP2K2"
"414","M7.32","POU2AF1",8697,"M7.32","M7.32_POU2AF1"
"415","M7.32","TNFRSF13B",8702,"M7.32","M7.32_TNFRSF13B"
"416","M7.33","TAL1",8757,"M7.33","M7.33_TAL1"
"417","M7.34","HLA-B",8793,"M7.34","M7.34_HLA-B"
"418","M7.35","CREB5",8836,"M7.35","M7.35_CREB5"
"419","M7.35","IL1R1",8843,"M7.35","M7.35_IL1R1"
"420","M7.35","TLR2",8846,"M7.35","M7.35_TLR2"
"421","M7.35","CLEC5A",8848,"M7.35","M7.35_CLEC5A"
"422","M7.35","CD163",8850,"M7.35","M7.35_CD163"
"423","M8.1","TNFRSF9",8865,"M8.1","M8.1_TNFRSF9"
"424","M8.1","FUT5",8893,"M8.1","M8.1_FUT5"
"425","M8.1","XCR1",8906,"M8.1","M8.1_XCR1"
"426","M8.2","MR1",8930,"M8.2","M8.2_MR1"
"427","M8.2","ITGAX",8960,"M8.2","M8.2_ITGAX"
"428","M8.2","APP",8963,"M8.2","M8.2_APP"
"429","M8.3","NFKB2",8995,"M8.3","M8.3_NFKB2"
"430","M8.4","IKBKE",9028,"M8.4","M8.4_IKBKE"
"431","M8.4","HD",9063,"M8.4","M8.4_HD"
"432","M8.5","STAT4",9066,"M8.5","M8.5_STAT4"
"433","M8.8","ZNF3",9196,"M8.8","M8.8_ZNF3"
"434","M8.10","TXNIP",9274,"M8.10","M8.10_TXNIP"
"435","M8.11","MAF",9291,"M8.11","M8.11_MAF"
"436","M8.13","TRAF2",9378,"M8.13","M8.13_TRAF2"
"437","M8.16","IL16",9457,"M8.16","M8.16_IL16"
"438","M8.16","NOD1",9460,"M8.16","M8.16_NOD1"
"439","M8.18","ARG2",9517,"M8.18","M8.18_ARG2"
"440","M8.19","ATG12",9546,"M8.19","M8.19_ATG12"
"441","M8.20","CD84",9561,"M8.20","M8.20_CD84"
"442","M8.21","TIRAP",9601,"M8.21","M8.21_TIRAP"
"443","M8.25","IRF8",9693,"M8.25","M8.25_IRF8"
"444","M8.26","ANP32B",9718,"M8.26","M8.26_ANP32B"
"445","M8.27","INPP5D",9747,"M8.27","M8.27_INPP5D"
"446","M8.32","MEF2C",9854,"M8.32","M8.32_MEF2C"
"447","M8.35","CMKLR1",9940,"M8.35","M8.35_CMKLR1"
"448","M8.37","IL6R",9963,"M8.37","M8.37_IL6R"
"449","M8.42","IL12RB2",10075,"M8.42","M8.42_IL12RB2"
"450","M8.43","SMAD2",10103,"M8.43","M8.43_SMAD2"
"451","M8.46","KLRB1",10143,"M8.46.Cytotoxic/NK Cell","M8.46_KLRB1"
"452","M8.46","PTGDR",10144,"M8.46.Cytotoxic/NK Cell","M8.46_PTGDR"
"453","M8.46","SH2D1B",10146,"M8.46.Cytotoxic/NK Cell","M8.46_SH2D1B"
"454","M8.46","KLRC1",10147,"M8.46.Cytotoxic/NK Cell","M8.46_KLRC1"
"455","M8.46","GZMB",10150,"M8.46.Cytotoxic/NK Cell","M8.46_GZMB"
"456","M8.46","CXCR6",10156,"M8.46.Cytotoxic/NK Cell","M8.46_CXCR6"
"457","M8.46","KIR3DL1",10161,"M8.46.Cytotoxic/NK Cell","M8.46_KIR3DL1"
"458","M8.48","CD44",10181,"M8.48","M8.48_CD44"
"459","M8.48","BATF",10182,"M8.48","M8.48_BATF"
"460","M8.48","LILRB2",10188,"M8.48","M8.48_LILRB2"
"461","M8.50","TNFSF8",10218,"M8.50","M8.50_TNFSF8"
"462","M8.51","F2R",10234,"M8.51","M8.51_F2R"
"463","M8.54","SPN",10283,"M8.54","M8.54_SPN"
"464","M8.56","FEZ1",10316,"M8.56","M8.56_FEZ1"
"465","M8.56","GATA3",10323,"M8.56","M8.56_GATA3"
"466","M8.59","RIPK2",10364,"M8.59","M8.59_RIPK2"
"467","M8.59","IL15",10366,"M8.59","M8.59_IL15"
"468","M8.59","HLA-DRB4",10368,"M8.59","M8.59_HLA-DRB4"
"469","M8.61","HLA-DRA",10391,"M8.61.Immune Responses","M8.61_HLA-DRA"
"470","M8.61","NFATC3",10393,"M8.61.Immune Responses","M8.61_NFATC3"
"471","M8.61","FCGR2B",10402,"M8.61.Immune Responses","M8.61_FCGR2B"
"472","M8.62","LRP1",10420,"M8.62","M8.62_LRP1"
"473","M8.63","NFATC1",10424,"M8.63","M8.63_NFATC1"
"474","M8.64","ILF3",10437,"M8.64","M8.64_ILF3"
"475","M8.64","IL12RB1",10439,"M8.64","M8.64_IL12RB1"
"476","M8.64","IL2RA",10444,"M8.64","M8.64_IL2RA"
"477","M8.64","ZNF3",10449,"M8.64","M8.64_ZNF3"
"478","M8.65","CLEC7A",10456,"M8.65","M8.65_CLEC7A"
"479","M8.66","PSEN1",10477,"M8.66","M8.66_PSEN1"
"480","M8.67","TNFAIP3",10482,"M8.67","M8.67_TNFAIP3"
"481","M8.67","S100A8",10492,"M8.67","M8.67_S100A8"
"482","M8.69","TYK2",10514,"M8.69","M8.69_TYK2"
"483","M8.70","ALCAM",10526,"M8.70","M8.70_ALCAM"
"484","M8.74","CD99",10584,"M8.74","M8.74_CD99"
"485","M8.76","CD83",10615,"M8.76","M8.76_CD83"
"486","M8.76","CD22",10616,"M8.76","M8.76_CD22"
"487","M8.76","CR2",10620,"M8.76","M8.76_CR2"
"488","M8.79","TNFSF14",10646,"M8.79","M8.79_TNFSF14"
"489","M8.79","THBD",10652,"M8.79","M8.79_THBD"
"490","M8.83","HLA-DMB",10702,"M8.83.Immune Responses","M8.83_HLA-DMB"
"491","M8.83","HLA-DPA1",10703,"M8.83.Immune Responses","M8.83_HLA-DPA1"
"492","M8.83","HLA-DRB3",10704,"M8.83.Immune Responses","M8.83_HLA-DRB3"
"493","M8.83","HLA-DQA1",10705,"M8.83.Immune Responses","M8.83_HLA-DQA1"
"494","M8.83","HLA-DPB1",10707,"M8.83.Immune Responses","M8.83_HLA-DPB1"
"495","M8.83","CCL5",10708,"M8.83.Immune Responses","M8.83_CCL5"
"496","M8.85","PDCD1LG2",10727,"M8.85","M8.85_PDCD1LG2"
"497","M8.85","BID",10733,"M8.85","M8.85_BID"
"498","M8.86","TFRC",10735,"M8.86","M8.86_TFRC"
"499","M8.86","IL21R",10743,"M8.86","M8.86_IL21R"
"500","M8.88","TAPBP",10767,"M8.88","M8.88_TAPBP"
"501","M8.89","SLAMF7",10772,"M8.89.Immune Responses","M8.89_SLAMF7"
"502","M8.89","PDCD1",10778,"M8.89.Immune Responses","M8.89_PDCD1"
"503","M8.91","IL4R",10799,"M8.91","M8.91_IL4R"
"504","M8.94","CD244",10832,"M8.94","M8.94_CD244"
"505","M8.94","CD4",10838,"M8.94","M8.94_CD4"
"506","M8.94","IL5RA",10840,"M8.94","M8.94_IL5RA"
"507","M8.96","HLA-DMA",10853,"M8.96","M8.96_HLA-DMA"
"508","M8.98","IFNAR2",10880,"M8.98","M8.98_IFNAR2"
"509","M8.99","ITCH",10886,"M8.99","M8.99_ITCH"
"510","M8.100","CD3D",10901,"M8.100","M8.100_CD3D"
"511","M8.103","ZNF34",10939,"M8.103","M8.103_ZNF34"
"512","M8.104","ZAP70",10951,"M8.104","M8.104_ZAP70"
"513","M8.107","CD37",10973,"M8.107","M8.107_CD37"
"514","M8.108","CD3G",10987,"M8.108","M8.108_CD3G"
"515","M9.1","CASP3",11030,"M9.1","M9.1_CASP3"
"516","M9.1","TNFRSF4",11190,"M9.1","M9.1_TNFRSF4"
"517","M9.1","IRF7",11228,"M9.1","M9.1_IRF7"
"518","M9.1","ZAP70",11261,"M9.1","M9.1_ZAP70"
"519","M9.1","SSX4",11342,"M9.1","M9.1_SSX4"
"520","M9.2","LTB",11362,"M9.2.B cells","M9.2_LTB"
"521","M9.2","POU2F2",11370,"M9.2.B cells","M9.2_POU2F2"
"522","M9.2","IL3RA",11388,"M9.2.B cells","M9.2_IL3RA"
"523","M9.2","TRIM3",11470,"M9.2.B cells","M9.2_TRIM3"
"524","M9.3","TICAM1",11565,"M9.3","M9.3_TICAM1"
"525","M9.3","TLR9",11614,"M9.3","M9.3_TLR9"
"526","M9.3","IL4",11682,"M9.3","M9.3_IL4"
"527","M9.4","PRG2",11721,"M9.4","M9.4_PRG2"
"528","M9.4","CFD",11729,"M9.4","M9.4_CFD"
"529","M9.5","IRF5",11849,"M9.5","M9.5_IRF5"
"530","M9.5","CLEC4C",11856,"M9.5","M9.5_CLEC4C"
"531","M9.5","IL8",11871,"M9.5","M9.5_IL8"
"532","M9.5","CCL23",11885,"M9.5","M9.5_CCL23"
"533","M9.5","FCER1A",11893,"M9.5","M9.5_FCER1A"
"534","M9.6","CXCR3",12000,"M9.6","M9.6_CXCR3"
"535","M9.6","TNFRSF18",12060,"M9.6","M9.6_TNFRSF18"
"536","M9.6","IL7",12073,"M9.6","M9.6_IL7"
"537","M9.7","NFATC3",12146,"M9.7","M9.7_NFATC3"
"538","M9.8","MAPK1",12272,"M9.8","M9.8_MAPK1"
"539","M9.8","MSR1",12287,"M9.8","M9.8_MSR1"
"540","M9.9","TP53",12364,"M9.9","M9.9_TP53"
"541","M9.9","REPS1",12398,"M9.9","M9.9_REPS1"
"542","M9.9","ICOSLG",12413,"M9.9","M9.9_ICOSLG"
"543","M9.9","FEZ1",12417,"M9.9","M9.9_FEZ1"
"544","M9.10","CHIT1",12454,"M9.10","M9.10_CHIT1"
"545","M9.11","USP9Y",12552,"M9.11","M9.11_USP9Y"
"546","M9.11","NT5E",12585,"M9.11","M9.11_NT5E"
"547","M9.11","CCL28",12648,"M9.11","M9.11_CCL28"
"548","M9.12","CCR9",12689,"M9.12","M9.12_CCR9"
"549","M9.12","TNFRSF13C",12701,"M9.12","M9.12_TNFRSF13C"
"550","M9.12","CCR4",12743,"M9.12","M9.12_CCR4"
"551","M9.12","TCF7",12746,"M9.12","M9.12_TCF7"
"552","M9.13","NCAM1",12774,"M9.13","M9.13_NCAM1"
"553","M9.13","CD1A",12795,"M9.13","M9.13_CD1A"
"554","M9.14","EGR2",12854,"M9.14","M9.14_EGR2"
"555","M9.14","TRAF6",12856,"M9.14","M9.14_TRAF6"
"556","M9.14","DUSP4",12929,"M9.14","M9.14_DUSP4"
"557","M9.14","KIR3DL3",12933,"M9.14","M9.14_KIR3DL3"
"558","M9.15","IL10",13004,"M9.15","M9.15_IL10"
"559","M9.16","ATF2",13045,"M9.16","M9.16_ATF2"
"560","M9.17","DNAJC1",13124,"M9.17","M9.17_DNAJC1"
"561","M9.17","MAP4",13161,"M9.17","M9.17_MAP4"
"562","M9.18","CNOT1",13199,"M9.18","M9.18_CNOT1"
"563","M9.18","LILRA1",13210,"M9.18","M9.18_LILRA1"
"564","M9.18","AICDA",13235,"M9.18","M9.18_AICDA"
"565","M9.19","PLA2G6",13298,"M9.19","M9.19_PLA2G6"
"566","M9.20","CD86",13336,"M9.20","M9.20_CD86"
"567","M9.20","AXL",13338,"M9.20","M9.20_AXL"
"568","M9.20","ITGA1",13342,"M9.20","M9.20_ITGA1"
"569","M9.22","CCL3L1",13462,"M9.22","M9.22_CCL3L1"
"570","M9.22","CR1",13469,"M9.22","M9.22_CR1"
"571","M9.22","JAK3",13479,"M9.22","M9.22_JAK3"
"572","M9.22","TLR8",13490,"M9.22","M9.22_TLR8"
"573","M9.23","CD74",13526,"M9.23","M9.23_CD74"
"574","M9.23","CCL3L1",13536,"M9.23","M9.23_CCL3L1"
"575","M9.23","PSEN2",13537,"M9.23","M9.23_PSEN2"
"576","M9.23","IL15RA",13540,"M9.23","M9.23_IL15RA"
"577","M9.23","CCL3",13541,"M9.23","M9.23_CCL3"
"578","M9.23","CCL2",13546,"M9.23","M9.23_CCL2"
"579","M9.23","BAX",13580,"M9.23","M9.23_BAX"
"580","M9.24","PLAU",13593,"M9.24","M9.24_PLAU"
"581","M9.24","CD97",13594,"M9.24","M9.24_CD97"
"582","M9.24","CXCL11",13599,"M9.24","M9.24_CXCL11"
"583","M9.24","CFB",13619,"M9.24","M9.24_CFB"
"584","M9.24","CXCL9",13620,"M9.24","M9.24_CXCL9"
"585","M9.24","CASP10",13621,"M9.24","M9.24_CASP10"
"586","M9.24","PRKCD",13625,"M9.24","M9.24_PRKCD"
"587","M9.26","FCGR3A",13702,"M9.26","M9.26_FCGR3A"
"588","M9.27","PRKCE",13766,"M9.27","M9.27_PRKCE"
"589","M9.27","IL7R",13776,"M9.27","M9.27_IL7R"
"590","M9.29","TLR10",13849,"M9.29","M9.29_TLR10"
"591","M9.29","CASP8",13869,"M9.29","M9.29_CASP8"
"592","M9.29","MME",13879,"M9.29","M9.29_MME"
"593","M9.30","CD24",13890,"M9.30","M9.30_CD24"
"594","M9.30","CD40",13891,"M9.30","M9.30_CD40"
"595","M9.30","CD200",13900,"M9.30","M9.30_CD200"
"596","M9.30","HLA-DQB1",13907,"M9.30","M9.30_HLA-DQB1"
"597","M9.31","CLEC7A",13940,"M9.31","M9.31_CLEC7A"
"598","M9.31","CXCL6",13943,"M9.31","M9.31_CXCL6"
"599","M9.31","KIT",13963,"M9.31","M9.31_KIT"
"600","M9.34","IL27",14047,"M9.34.Immunosuppression","M9.34_IL27"
"601","M9.34","ITGB4",14062,"M9.34.Immunosuppression","M9.34_ITGB4"
"602","M9.34","IGF1R",14071,"M9.34.Immunosuppression","M9.34_IGF1R"
"603","M9.35","PDGFRB",14074,"M9.35","M9.35_PDGFRB"
"604","M9.35","LAIR2",14075,"M9.35","M9.35_LAIR2"
"605","M9.35","LAG3",14080,"M9.35","M9.35_LAG3"
"606","M9.35","CTLA4",14082,"M9.35","M9.35_CTLA4"
"607","M9.35","EBI3",14087,"M9.35","M9.35_EBI3"
"608","M9.36","IL6",14118,"M9.36","M9.36_IL6"
"609","M9.36","TANK",14119,"M9.36","M9.36_TANK"
"610","M9.36","C3",14120,"M9.36","M9.36_C3"
"611","M9.36","CCL19",14121,"M9.36","M9.36_CCL19"
"612","M9.36","CD80",14122,"M9.36","M9.36_CD80"
"613","M9.37","IL22RA2",14140,"M9.37","M9.37_IL22RA2"
"614","M9.39","A2M",14175,"M9.39","M9.39_A2M"
"615","M9.39","CCL20",14176,"M9.39","M9.39_CCL20"
"616","M9.39","AMBP",14179,"M9.39","M9.39_AMBP"
"617","M9.39","COLEC12",14189,"M9.39","M9.39_COLEC12"
"618","M9.40","ITGB2",14201,"M9.40","M9.40_ITGB2"
"619","M9.40","LCP1",14202,"M9.40","M9.40_LCP1"
"620","M9.41","ITGA2",14239,"M9.41","M9.41_ITGA2"
"621","M9.44","C2",14285,"M9.44","M9.44_C2"
"622","M9.45","RORA",14306,"M9.45","M9.45_RORA"
"623","M9.45","ILF3",14317,"M9.45","M9.45_ILF3"
"624","M9.47","CCR2",14347,"M9.47","M9.47_CCR2"
"625","M9.49","DEFB1",14372,"M9.49","M9.49_DEFB1"
"626","M9.52","NCAM1",14405,"M9.52","M9.52_NCAM1"
